"store_type","product_category","country","years","months","actual_value","pct_overstock","prev_overstock","change_overstock","pct_slow_movers","prev_slow_movers","change_slow_movers","classification","ranking"
"Store","Audio","India","Year 2008","August","30097.46","75.00","86.00","-11.00","23.00","18.00","5.00","WORST","2"
"Online","Audio","China","Year 2009","June","50858.83","69.00","83.00","-14.00","18.00","8.00","10.00","WORST","4"
"Store","Cameras and camcorders ","India","Year 2008","December","13707.08","64.00","86.00","-22.00","28.00","13.00","15.00","WORST","1"
"Store","Music, Movies and Audio Books","Italy    ","Year 2009","February","12177.38","60.00","61.00","-1.00","12.00","4.00","8.00","WORST","2"
"Store","Music, Movies and Audio Books","Australia","Year 2008","March","3765.65","83.00","20.00","63.00","16.00","5.00","11.00","WORST","2"
"Reseller","Audio","United States","Year 2007","July","31437.10","89.00","75.00","14.00","15.00","9.00","6.00","WORST","4"
"Store","Cameras and camcorders ","Australia","Year 2008","March","7818.03","60.00","50.00","10.00","20.00","0.00","20.00","WORST","3"
"Store","Audio","India","Year 2008","February","15966.08","62.00","63.00","-1.00","20.00","12.00","8.00","WORST","2"
"Store","Cameras and camcorders ","Bhutan","Year 2007","May","4965.30","100.00","57.00","43.00","50.00","14.00","36.00","WORST","1"
"Store","Music, Movies and Audio Books","Italy    ","Year 2009","July","11577.48","66.00","66.00","0.00","8.00","0.00","8.00","WORST","2"
"Store","Audio","Turkmenistan","Year 2008","October","12073.42","76.00","75.00","1.00","19.00","17.00","2.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2009","March","20166.62","85.00","90.00","-5.00","11.00","12.00","-1.00","WORST","4"
"Store","Music, Movies and Audio Books","the Netherlands","Year 2007","April","2106.42","72.00","33.00","39.00","18.00","0.00","18.00","WORST","2"
"Store","Cameras and camcorders ","India","Year 2008","July","19561.75","87.00","65.00","22.00","41.00","34.00","7.00","WORST","1"
"Store","Audio","India","Year 2008","July","26199.64","86.00","79.00","7.00","18.00","17.00","1.00","WORST","2"
"Online","Audio","China","Year 2009","March","17423.38","78.00","89.00","-11.00","10.00","2.00","8.00","WORST","5"
"Store","Audio","India","Year 2008","June","36792.96","79.00","81.00","-2.00","17.00","18.00","-1.00","WORST","1"
"Store","Cameras and camcorders ","India","Year 2008","June","22633.05","65.00","50.00","15.00","34.00","42.00","-8.00","WORST","2"
"Store","Music, Movies and Audio Books","India","Year 2008","June","8502.30","63.00","72.00","-9.00","26.00","20.00","6.00","WORST","3"
"Online","Audio","Germany","Year 2009","November","66655.63","84.00","93.00","-9.00","7.00","2.00","5.00","WORST","3"
"Store","Music, Movies and Audio Books","India","Year 2008","March","7586.13","71.00","63.00","8.00","20.00","9.00","11.00","WORST","2"
"Store","Audio","Australia","Year 2008","May","26087.44","72.00","76.00","-4.00","21.00","12.00","9.00","WORST","1"
"Store","Audio","Thailand","Year 2007","January","4520.50","75.00","","","25.00","","","WORST","1"
"Store","Audio","India","Year 2008","May","25844.92","81.00","70.00","11.00","18.00","18.00","0.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2008","May","5235.75","72.00","70.00","2.00","20.00","29.00","-9.00","WORST","2"
"Reseller","Cameras and camcorders ","France","Year 2008","February","34402.34","87.00","81.00","6.00","12.00","0.00","12.00","WORST","2"
"Store","Cameras and camcorders ","Australia","Year 2008","May","7764.00","70.00","64.00","6.00","20.00","17.00","3.00","WORST","2"
"Store","Audio","India","Year 2008","November","29099.16","68.00","50.00","18.00","25.00","25.00","0.00","WORST","2"
"Store","Music, Movies and Audio Books","Australia","Year 2008","May","5663.87","59.00","85.00","-26.00","24.00","15.00","9.00","WORST","3"
"Store","Audio","United Kingdom","Year 2007","July","63008.66","62.00","48.00","14.00","19.00","16.00","3.00","WORST","1"
"Reseller","Music, Movies and Audio Books","China","Year 2009","May","22797.56","74.00","76.00","-2.00","12.00","17.00","-5.00","WORST","4"
"Online","Cameras and camcorders ","China","Year 2009","May","24716.71","71.00","80.00","-9.00","14.00","0.00","14.00","WORST","5"
"Store","Cameras and camcorders ","India","Year 2008","September","16301.86","76.00","100.00","-24.00","47.00","33.00","14.00","WORST","1"
"Store","Audio","Thailand","Year 2007","February","8855.74","70.00","75.00","-5.00","20.00","25.00","-5.00","WORST","1"
"Store","Cameras and camcorders ","Switzerland ","Year 2007","August","6216.35","66.00","22.00","44.00","33.00","11.00","22.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2009","November","35921.63","79.00","78.00","1.00","11.00","16.00","-5.00","WORST","1"
"Store","Cameras and camcorders ","Japan","Year 2007","December","43741.95","69.00","72.00","-3.00","19.00","20.00","-1.00","WORST","1"
"Store","Audio","Japan","Year 2007","December","26870.64","55.00","69.00","-14.00","15.00","12.00","3.00","WORST","2"
"Store","Audio","India","Year 2008","September","27359.78","58.00","75.00","-17.00","20.00","23.00","-3.00","WORST","3"
"Store","Audio","Japan","Year 2007","February","16168.84","54.00","100.00","-46.00","16.00","50.00","-34.00","WORST","1"
"Online","Cameras and camcorders ","United States","Year 2008","May","53637.72","90.00","92.00","-2.00","13.00","7.00","6.00","WORST","1"
"Store","Music, Movies and Audio Books","Taiwan","Year 2009","October","3097.24","75.00","100.00","-25.00","12.00","0.00","12.00","WORST","2"
"Store","Music, Movies and Audio Books","India","Year 2009","April","10723.01","78.00","60.00","18.00","25.00","10.00","15.00","WORST","2"
"Store","Audio","Japan","Year 2007","January","3562.58","100.00","","","50.00","","","WORST","2"
"Online","Audio","China","Year 2009","November","38223.67","72.00","75.00","-3.00","13.00","6.00","7.00","WORST","3"
"Online","Cameras and camcorders ","Germany","Year 2009","September","50342.20","94.00","92.00","2.00","5.00","0.00","5.00","WORST","4"
"Store","Music, Movies and Audio Books","Taiwan","Year 2009","May","899.39","100.00","75.00","25.00","50.00","25.00","25.00","WORST","1"
"Store","Music, Movies and Audio Books","Australia","Year 2007","July","6004.70","60.00","35.00","25.00","33.00","21.00","12.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2007","June","13013.55","60.00","50.00","10.00","31.00","15.00","16.00","WORST","1"
"Store","Audio","Taiwan","Year 2009","January","1995.36","75.00","75.00","0.00","50.00","0.00","50.00","WORST","1"
"Store","Music, Movies and Audio Books","Taiwan","Year 2009","April","1454.79","75.00","50.00","25.00","25.00","0.00","25.00","WORST","3"
"Store","Audio","Taiwan","Year 2009","April","1774.02","100.00","0.00","100.00","33.00","0.00","33.00","WORST","1"
"Store","Cameras and camcorders ","Germany ","Year 2007","April","42936.20","77.00","69.00","8.00","13.00","16.00","-3.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2009","December","15992.04","67.00","50.00","17.00","23.00","17.00","6.00","WORST","1"
"Store","Audio","Germany ","Year 2007","April","51406.30","72.00","62.00","10.00","18.00","10.00","8.00","WORST","2"
"Store","Music, Movies and Audio Books","Canada","Year 2007","July","21909.48","61.00","46.00","15.00","21.00","22.00","-1.00","WORST","1"
"Store","Music, Movies and Audio Books","Australia","Year 2008","November","21888.43","58.00","72.00","-14.00","27.00","18.00","9.00","WORST","3"
"Store","Cameras and camcorders ","Japan","Year 2007","November","24372.80","72.00","29.00","43.00","20.00","16.00","4.00","WORST","1"
"Reseller","Cameras and camcorders ","China","Year 2009","October","18192.58","80.00","63.00","17.00","13.00","9.00","4.00","WORST","2"
"Store","Music, Movies and Audio Books","Japan","Year 2007","November","11394.35","55.00","43.00","12.00","13.00","17.00","-4.00","WORST","3"
"Store","Cameras and camcorders ","Thailand","Year 2009","September","14118.03","82.00","33.00","49.00","23.00","33.00","-10.00","WORST","1"
"Online","Cameras and camcorders ","United States","Year 2007","August","22091.65","85.00","92.00","-7.00","7.00","7.00","0.00","WORST","5"
"Online","Music, Movies and Audio Books","China","Year 2009","October","37246.65","78.00","90.00","-12.00","16.00","6.00","10.00","WORST","4"
"Store","Audio","Taiwan","Year 2008","November","4269.90","80.00","80.00","0.00","20.00","0.00","20.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2007","December","12389.03","95.00","80.00","15.00","11.00","14.00","-3.00","WORST","1"
"Reseller","Cameras and camcorders ","China","Year 2007","December","35900.45","90.00","90.00","0.00","10.00","9.00","1.00","WORST","2"
"Store","Audio","Japan","Year 2008","April","28983.70","79.00","58.00","21.00","23.00","30.00","-7.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2008","April","12440.24","66.00","72.00","-6.00","35.00","30.00","5.00","WORST","2"
"Store","Cameras and camcorders ","Thailand","Year 2009","October","19076.91","90.00","82.00","8.00","18.00","23.00","-5.00","WORST","1"
"Store","Audio","Portugal","Year 2007","April","1896.74","75.00","75.00","0.00","25.00","0.00","25.00","WORST","2"
"Store","Audio","Japan","Year 2008","August","33371.66","70.00","57.00","13.00","15.00","25.00","-10.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2008","August","35584.68","61.00","59.00","2.00","23.00","14.00","9.00","WORST","2"
"Online","Audio","China","Year 2007","December","34972.44","88.00","88.00","0.00","14.00","4.00","10.00","WORST","3"
"Store","Audio","India","Year 2009","June","21286.62","75.00","63.00","12.00","18.00","18.00","0.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2009","June","30725.72","73.00","75.00","-2.00","18.00","17.00","1.00","WORST","2"
"Online","Audio","China","Year 2009","September","31605.58","87.00","70.00","17.00","10.00","14.00","-4.00","WORST","3"
"Store","Audio","India","Year 2009","March","9755.42","76.00","71.00","5.00","52.00","9.00","43.00","WORST","1"
"Store","Audio","Portugal","Year 2007","February","2181.08","100.00","40.00","60.00","50.00","20.00","30.00","WORST","1"
"Store","Cameras and camcorders ","China","Year 2009","September","40634.87","84.00","75.00","9.00","13.00","9.00","4.00","WORST","4"
"Store","Cameras and camcorders ","Thailand","Year 2009","November","15729.94","81.00","90.00","-9.00","18.00","18.00","0.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2009","May","23972.20","75.00","78.00","-3.00","17.00","25.00","-8.00","WORST","1"
"Store","Audio","Portugal","Year 2007","July","744.16","75.00","83.00","-8.00","50.00","16.00","34.00","WORST","2"
"Store","Audio","Switzerland ","Year 2007","April","7551.92","78.00","52.00","26.00","21.00","9.00","12.00","WORST","2"
"Store","Audio","Portugal","Year 2007","June","979.84","83.00","100.00","-17.00","16.00","14.00","2.00","WORST","1"
"Store","Audio","India","Year 2009","May","13938.01","63.00","28.00","35.00","18.00","64.00","-46.00","WORST","2"
"Reseller","Music, Movies and Audio Books","China","Year 2007","December","14207.77","79.00","64.00","15.00","15.00","16.00","-1.00","WORST","4"
"Store","Music, Movies and Audio Books","Japan","Year 2008","July","27293.61","59.00","62.00","-3.00","14.00","8.00","6.00","WORST","1"
"Store","Music, Movies and Audio Books","Portugal","Year 2007","May","332.22","100.00","25.00","75.00","50.00","25.00","25.00","WORST","1"
"Store","Audio","Portugal","Year 2007","May","1900.60","100.00","75.00","25.00","14.00","25.00","-11.00","WORST","2"
"Store","Audio","Japan","Year 2008","July","27983.12","57.00","63.00","-6.00","25.00","23.00","2.00","WORST","2"
"Store","Audio","India","Year 2009","November","15310.14","85.00","83.00","2.00","28.00","22.00","6.00","WORST","1"
"Store","Audio","Japan","Year 2008","June","46454.16","63.00","65.00","-2.00","23.00","20.00","3.00","WORST","1"
"Reseller","Cameras and camcorders ","France","Year 2008","March","34625.90","76.00","87.00","-11.00","5.00","12.00","-7.00","WORST","3"
"Store","Audio","Bhutan","Year 2007","October","3145.70","81.00","43.00","38.00","18.00","18.00","0.00","WORST","2"
"Store","Audio","India","Year 2009","October","18811.10","83.00","81.00","2.00","22.00","2.00","20.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2008","March","13539.06","72.00","55.00","17.00","30.00","6.00","24.00","WORST","2"
"Store","Audio","Japan","Year 2008","March","19043.58","58.00","57.00","1.00","30.00","7.00","23.00","WORST","3"
"Store","Music, Movies and Audio Books","Germany ","Year 2007","July","17884.30","56.00","58.00","-2.00","25.00","20.00","5.00","WORST","1"
"Store","Audio","Japan","Year 2008","May","43981.36","65.00","79.00","-14.00","20.00","23.00","-3.00","WORST","2"
"Store","Music, Movies and Audio Books","India","Year 2009","October","19915.40","62.00","73.00","-11.00","22.00","16.00","6.00","WORST","3"
"Store","Music, Movies and Audio Books","Bhutan","Year 2007","October","4500.70","60.00","46.00","14.00","21.00","7.00","14.00","WORST","3"
"Reseller","Music, Movies and Audio Books","United States","Year 2007","August","10349.51","94.00","91.00","3.00","10.00","11.00","-1.00","WORST","1"
"Store","Music, Movies and Audio Books","Germany ","Year 2007","June","13013.58","58.00","47.00","11.00","20.00","24.00","-4.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2008","October","29500.25","67.00","61.00","6.00","22.00","21.00","1.00","WORST","1"
"Store","Audio","Japan","Year 2008","October","42078.04","57.00","67.00","-10.00","17.00","22.00","-5.00","WORST","2"
"Online","Cameras and camcorders ","United States","Year 2007","September","34163.65","85.00","85.00","0.00","25.00","7.00","18.00","WORST","4"
"Store","Audio","Japan","Year 2008","September","49641.83","67.00","70.00","-3.00","22.00","15.00","7.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2008","September","35336.49","61.00","61.00","0.00","21.00","23.00","-2.00","WORST","2"
"Store","Music, Movies and Audio Books","Sweden ","Year 2007","May","2067.90","53.00","20.00","33.00","13.00","30.00","-17.00","WORST","3"
"Store","Cameras and camcorders ","Thailand","Year 2009","February","2674.00","66.00","0.00","66.00","66.00","0.00","66.00","WORST","2"
"Store","Audio","Sweden ","Year 2007","June","4013.28","72.00","72.00","0.00","18.00","0.00","18.00","WORST","2"
"Store","Audio","Taiwan","Year 2008","February","1571.82","75.00","50.00","25.00","25.00","0.00","25.00","WORST","3"
"Store","Music, Movies and Audio Books","Australia","Year 2008","October","17715.15","72.00","72.00","0.00","18.00","2.00","16.00","WORST","2"
"Store","Cameras and camcorders ","Germany ","Year 2007","March","31726.45","69.00","21.00","48.00","16.00","13.00","3.00","WORST","1"
"Store","Audio","Germany ","Year 2007","March","62554.66","62.00","36.00","26.00","10.00","2.00","8.00","WORST","2"
"Store","Music, Movies and Audio Books","Thailand","Year 2009","February","6764.46","76.00","75.00","1.00","17.00","7.00","10.00","WORST","1"
"Store","Audio","Armenia","Year 2007","February","6333.92","57.00","100.00","-43.00","14.00","0.00","14.00","WORST","2"
"Store","Music, Movies and Audio Books","Sweden ","Year 2007","June","3664.27","73.00","53.00","20.00","26.00","13.00","13.00","WORST","1"
"Store","Cameras and camcorders ","Bhutan","Year 2008","April","4638.75","71.00","77.00","-6.00","28.00","55.00","-27.00","WORST","1"
"Online","Cameras and camcorders ","China","Year 2007","January","9174.00","100.00","","","14.00","","","WORST","1"
"Store","Audio","Sweden ","Year 2007","July","1388.12","100.00","72.00","28.00","30.00","18.00","12.00","WORST","1"
"Store","Audio","Iran","Year 2007","February","6595.56","61.00","100.00","-39.00","30.00","33.00","-3.00","WORST","1"
"Online","Music, Movies and Audio Books","United States","Year 2009","March","63852.94","92.00","91.00","1.00","5.00","0.00","5.00","WORST","4"
"Store","Audio","Canada","Year 2007","May","47483.76","65.00","43.00","22.00","15.00","19.00","-4.00","WORST","1"
"Store","Cameras and camcorders ","Iran","Year 2007","January","1146.75","100.00","","","50.00","","","WORST","1"
"Store","Audio","Iran","Year 2007","January","1716.20","100.00","","","33.00","","","WORST","2"
"Store","Music, Movies and Audio Books","Iran","Year 2007","January","196.5","100.00","","","50.00","","","WORST","3"
"Store","Music, Movies and Audio Books","Thailand","Year 2008","September","6150.55","55.00","77.00","-22.00","27.00","22.00","5.00","WORST","3"
"Store","Audio","China","Year 2007","January","6269.82","80.00","","","20.00","","","WORST","4"
"Store","Audio","Thailand","Year 2008","September","7857.36","92.00","100.00","-8.00","28.00","30.00","-2.00","WORST","2"
"Reseller","Audio","United States","Year 2007","April","14049.16","80.00","55.00","25.00","19.00","14.00","5.00","WORST","2"
"Store","Audio","Japan","Year 2009","June","47597.74","57.00","45.00","12.00","25.00","22.00","3.00","WORST","1"
"Store","Cameras and camcorders ","Thailand","Year 2008","September","3236.31","100.00","57.00","43.00","75.00","14.00","61.00","WORST","1"
"Reseller","Cameras and camcorders ","China","Year 2007","January","3669.60","80.00","","","20.00","","","WORST","5"
"Store","Cameras and camcorders ","Taiwan","Year 2008","February","827.55","100.00","100.00","0.00","100.00","0.00","100.00","WORST","1"
"Store","Music, Movies and Audio Books","Taiwan","Year 2008","April","117.9","100.00","0.00","100.00","100.00","50.00","50.00","WORST","1"
"Store","Audio","Taiwan","Year 2007","September","220.0","66.00","50.00","16.00","33.00","0.00","33.00","WORST","2"
"Online","Cameras and camcorders ","United States","Year 2007","April","30936.20","90.00","72.00","18.00","10.00","11.00","-1.00","WORST","1"
"Store","Music, Movies and Audio Books","Denmark       ","Year 2007","July","2214.28","56.00","47.00","9.00","12.00","28.00","-16.00","WORST","1"
"Store","Audio","Taiwan","Year 2007","October","1615.30","66.00","66.00","0.00","33.00","33.00","0.00","WORST","2"
"Store","Audio","Japan","Year 2009","November","64223.25","80.00","72.00","8.00","14.00","13.00","1.00","WORST","1"
"Online","Audio","China","Year 2007","July","20697.18","92.00","81.00","11.00","10.00","5.00","5.00","WORST","1"
"Store","Music, Movies and Audio Books","Japan","Year 2009","November","52909.15","64.00","72.00","-8.00","13.00","11.00","2.00","WORST","3"
"Store","Audio","Sweden ","Year 2007","April","2180.76","70.00","33.00","37.00","30.00","44.00","-14.00","WORST","1"
"Store","Audio","Japan","Year 2009","October","74771.67","72.00","64.00","8.00","13.00","12.00","1.00","WORST","1"
"Store","Music, Movies and Audio Books","Turkmenistan","Year 2009","September","13382.65","81.00","78.00","3.00","40.00","21.00","19.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2007","July","11024.15","83.00","87.00","-4.00","13.00","10.00","3.00","WORST","2"
"Store","Cameras and camcorders ","Thailand","Year 2008","October","4227.75","80.00","100.00","-20.00","20.00","75.00","-55.00","WORST","1"
"Online","Cameras and camcorders ","United States","Year 2008","June","55140.49","86.00","90.00","-4.00","8.00","13.00","-5.00","WORST","2"
"Store","Audio","Australia","Year 2008","September","24431.66","71.00","51.00","20.00","29.00","19.00","10.00","WORST","3"
"Store","Audio","Turkmenistan","Year 2009","October","17633.98","62.00","26.00","36.00","29.00","33.00","-4.00","WORST","3"
"Store","Cameras and camcorders ","Turkmenistan","Year 2009","October","7407.11","66.00","71.00","-5.00","33.00","7.00","26.00","WORST","2"
"Store","Audio","Romania ","Year 2007","April","6976.94","100.00","27.00","73.00","9.00","27.00","-18.00","WORST","1"
"Store","Audio","Spain","Year 2007","May","2254.38","85.00","40.00","45.00","14.00","0.00","14.00","WORST","1"
"Store","Music, Movies and Audio Books","Spain","Year 2007","March","1027.46","100.00","","","16.00","","","WORST","1"
"Reseller","Music, Movies and Audio Books","China","Year 2007","July","10124.57","81.00","84.00","-3.00","16.00","15.00","1.00","WORST","5"
"Reseller","Cameras and camcorders ","China","Year 2007","June","14469.00","92.00","83.00","9.00","21.00","8.00","13.00","WORST","1"
"Store","Audio","Canada","Year 2007","November","58796.66","62.00","39.00","23.00","16.00","10.00","6.00","WORST","1"
"Online","Music, Movies and Audio Books","China","Year 2007","June","11101.34","87.00","82.00","5.00","10.00","6.00","4.00","WORST","3"
"Store","Audio","Kyrgyzstan","Year 2007","December","4648.18","100.00","100.00","0.00","40.00","20.00","20.00","WORST","1"
"Store","Music, Movies and Audio Books","Turkmenistan","Year 2009","July","9444.60","60.00","41.00","19.00","16.00","32.00","-16.00","WORST","3"
"Reseller","Music, Movies and Audio Books","China","Year 2007","June","9644.59","84.00","89.00","-5.00","15.00","21.00","-6.00","WORST","4"
"Store","Music, Movies and Audio Books","Taiwan","Year 2007","November","785.11","75.00","66.00","9.00","50.00","0.00","50.00","WORST","3"
"Store","Cameras and camcorders ","Iran","Year 2008","April","10796.03","80.00","100.00","-20.00","13.00","0.00","13.00","WORST","2"
"Store","Music, Movies and Audio Books","Kyrgyzstan","Year 2007","July","1635.47","58.00","33.00","25.00","33.00","55.00","-22.00","WORST","1"
"Store","Music, Movies and Audio Books","Iran","Year 2008","April","3315.08","77.00","88.00","-11.00","18.00","5.00","13.00","WORST","3"
"Store","Music, Movies and Audio Books","Denmark       ","Year 2007","May","1966.92","90.00","45.00","45.00","63.00","45.00","18.00","WORST","2"
"Store","Music, Movies and Audio Books","Romania ","Year 2007","July","2416.10","58.00","47.00","11.00","23.00","35.00","-12.00","WORST","2"
"Store","Cameras and camcorders ","Kyrgyzstan","Year 2007","June","7319.75","100.00","100.00","0.00","50.00","50.00","0.00","WORST","1"
"Store","Cameras and camcorders ","United Kingdom","Year 2009","November","50735.26","61.00","88.00","-27.00","8.00","5.00","3.00","WORST","2"
"Store","Cameras and camcorders ","Denmark       ","Year 2007","November","2971.30","100.00","25.00","75.00","75.00","25.00","50.00","WORST","1"
"Store","Audio","Armenia","Year 2009","June","5788.39","62.00","50.00","12.00","37.00","20.00","17.00","WORST","1"
"Store","Audio","United Kingdom","Year 2009","March","43154.44","66.00","62.00","4.00","6.00","1.00","5.00","WORST","2"
"Online","Music, Movies and Audio Books","United States","Year 2007","August","12971.90","86.00","86.00","0.00","11.00","13.00","-2.00","WORST","4"
"Store","Cameras and camcorders ","Kyrgyzstan","Year 2007","May","1990.85","100.00","0.00","100.00","50.00","0.00","50.00","WORST","1"
"Store","Music, Movies and Audio Books","Romania ","Year 2007","May","1821.47","55.00","18.00","37.00","11.00","0.00","11.00","WORST","1"
"Reseller","Audio","United States","Year 2007","November","28164.20","85.00","63.00","22.00","14.00","6.00","8.00","WORST","5"
"Store","Audio","Spain","Year 2007","June","9345.80","60.00","85.00","-25.00","13.00","14.00","-1.00","WORST","1"
"Store","Music, Movies and Audio Books","Spain","Year 2007","April","2899.09","66.00","100.00","-34.00","16.00","16.00","0.00","WORST","1"
"Store","Audio","Iran","Year 2008","February","10873.04","59.00","29.00","30.00","13.00","7.00","6.00","WORST","2"
"Store","Audio","Kyrgyzstan","Year 2007","November","1586.18","100.00","50.00","50.00","20.00","25.00","-5.00","WORST","1"
"Store","Music, Movies and Audio Books","Armenia","Year 2009","June","11529.70","55.00","44.00","11.00","10.00","13.00","-3.00","WORST","2"
"Reseller","Music, Movies and Audio Books","United States","Year 2008","February","12883.59","88.00","92.00","-4.00","7.00","0.00","7.00","WORST","3"
"Store","Cameras and camcorders ","Romania ","Year 2007","September","7644.20","77.00","28.00","49.00","33.00","14.00","19.00","WORST","1"
"Reseller","Audio","United States","Year 2009","November","91212.01","97.00","95.00","2.00","5.00","2.00","3.00","WORST","3"
"Store","Cameras and camcorders ","Kyrgyzstan","Year 2007","September","11346.90","75.00","44.00","31.00","25.00","33.00","-8.00","WORST","1"
"Store","Cameras and camcorders ","Thailand","Year 2008","November","6489.24","62.00","80.00","-18.00","37.00","20.00","17.00","WORST","2"
"Store","Cameras and camcorders ","Iran","Year 2008","July","11937.87","64.00","92.00","-28.00","14.00","7.00","7.00","WORST","1"
"Store","Cameras and camcorders ","Kyrgyzstan","Year 2008","April","4272.00","100.00","35.00","65.00","100.00","35.00","65.00","WORST","1"
"Store","Audio","Iran","Year 2008","July","11669.84","57.00","52.00","5.00","15.00","17.00","-2.00","WORST","2"
"Reseller","Music, Movies and Audio Books","China","Year 2007","May","7041.74","89.00","37.00","52.00","21.00","12.00","9.00","WORST","1"
"Store","Cameras and camcorders ","Bhutan","Year 2008","February","3617.79","100.00","14.00","86.00","20.00","0.00","20.00","WORST","1"
"Store","Music, Movies and Audio Books","Iran","Year 2008","June","6035.58","62.00","73.00","-11.00","29.00","13.00","16.00","WORST","2"
"Online","Music, Movies and Audio Books","United States","Year 2007","December","16979.49","85.00","79.00","6.00","21.00","6.00","15.00","WORST","4"
"Store","Music, Movies and Audio Books","Kyrgyzstan","Year 2008","December","8411.76","80.00","92.00","-12.00","19.00","7.00","12.00","WORST","1"
"Reseller","Music, Movies and Audio Books","United States","Year 2007","September","11942.98","86.00","94.00","-8.00","13.00","10.00","3.00","WORST","3"
"Reseller","Cameras and camcorders ","France","Year 2009","January","35663.44","87.00","66.00","21.00","6.00","0.00","6.00","WORST","1"
"Store","Cameras and camcorders ","South Korea","Year 2009","September","14942.56","62.00","90.00","-28.00","18.00","20.00","-2.00","WORST","2"
"Store","Audio","Iran","Year 2008","March","5632.76","62.00","59.00","3.00","37.00","13.00","24.00","WORST","3"
"Store","Cameras and camcorders ","Iran","Year 2008","May","17011.20","90.00","80.00","10.00","23.00","13.00","10.00","WORST","1"
"Store","Cameras and camcorders ","Kyrgyzstan","Year 2008","February","5243.72","57.00","100.00","-43.00","14.00","0.00","14.00","WORST","3"
"Store","Music, Movies and Audio Books","Iran","Year 2008","May","4256.50","73.00","77.00","-4.00","13.00","18.00","-5.00","WORST","2"
"Store","Cameras and camcorders ","Australia","Year 2009","December","26255.56","61.00","75.00","-14.00","28.00","25.00","3.00","WORST","1"
"Store","Music, Movies and Audio Books","Iran","Year 2008","November","13332.67","57.00","65.00","-8.00","26.00","31.00","-5.00","WORST","1"
"Store","Music, Movies and Audio Books","Kyrgyzstan","Year 2008","July","5234.33","70.00","58.00","12.00","29.00","5.00","24.00","WORST","1"
"Store","Audio","Bhutan","Year 2008","January","6719.28","60.00","71.00","-11.00","30.00","14.00","16.00","WORST","1"
"Store","Music, Movies and Audio Books","Armenia","Year 2007","August","1605.63","60.00","27.00","33.00","20.00","0.00","20.00","WORST","1"
"Store","Audio","Iran","Year 2008","October","8890.85","76.00","63.00","13.00","14.00","13.00","1.00","WORST","1"
"Store","Music, Movies and Audio Books","Iran","Year 2008","October","15626.26","65.00","83.00","-18.00","31.00","18.00","13.00","WORST","2"
