"product","actual_value","pct_overstock","actual_value_overstock","solution_layer"
"Contoso Washer & Dryer 21in E210 White","28561232.70","95.00","27888676.20","Discount"
"Contoso Washer & Dryer 24in M240 Green","28532031.84","95.00","27808865.89","Discount"
"NT Washer & Dryer 24in M2400 Silver","28477776.70","95.00","27727481.05","Discount"
"Litware Washer & Dryer 24in M260 Green","28568817.16","94.00","27716066.56","Discount"
"Contoso Washer & Dryer 24in M240 Blue","28525343.60","95.00","27685133.45","Discount"
"Contoso Projector 720p M621 White","27707332.80","98.00","27628316.0","Reduce purchasing"
"NT Washer & Dryer 21in E2100 White","27997400.32","97.00","27574062.40","Discount"
"NT Washer & Dryer 24in M2400 Green","28057042.35","96.00","27527569.50","Discount"
"Contoso Washer & Dryer 24in M240 Red","28096460.21","96.00","27436832.54","Discount"
"Litware Washer & Dryer 24in M260 Silver","28012857.21","96.00","27410915.61","Discount"
"NT Washer & Dryer 24in M2400 White","28066243.30","96.00","27391228.15","Discount"
"Litware Washer & Dryer 24in M260 White","28015365.30","95.00","27340689.09","Discount"
"Contoso Washer & Dryer 21in E210 Green","28081068.12","95.00","27340033.14","Discount"
"Adventure Works Laptop19W X1980 White","27404876.88","98.00","27299003.40","Reduce purchasing"
"Contoso Washer & Dryer 24in M240 White","27884944.62","95.00","27247889.76","Discount"
"Litware Washer & Dryer 24in M260 Blue","27840635.03","96.00","27140877.92","Discount"
"WWI Projector 720p DLP56 White","26974130.40","98.00","26890979.0","Reduce purchasing"
"Proseware Projector 720p DLP56 Black","26873062.40","99.00","26804152.4","Reduce purchasing"
"Contoso Projector 720p M621 Black","26822987.80","98.00","26713650.6","Reduce purchasing"
"Fabrikam Independent Filmmaker 2/3'' 17mm X100 Black","26765354.88","98.00","26621727.66","Reduce purchasing"
"Adventure Works Laptop19W X1980 Blue","26713686.60","98.00","26575104.24","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 Green","26462127.60","99.00","26374161.6","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 Blue","26257851.00","99.00","26156201.4","Reduce purchasing"
"Fabrikam Laptop19W M9800 Black","25917384.50","96.00","25750142.25","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 White","25581978.90","99.00","25559987.4","Reduce purchasing"
"Adventure Works Laptop19W X1980 Silver","25464293.46","97.00","25311078.18","Reduce purchasing"
"Adventure Works 42"" LCD HDTV M55 Black","25338879.70","99.00","25277765.88","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 Silver","25367928.30","98.00","25250151.6","Reduce purchasing"
"Fabrikam Laptop17 M7000 Black","25368290.28","96.00","25192404.07","Reduce purchasing"
"Adventure Works Laptop19W X1980 Red","25098040.08","98.00","24985710.90","Reduce purchasing"
"Fabrikam Business Videographer 1'' 25mm M600 Black","24741307.32","98.00","24670252.68","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 Red","24381731.70","99.00","24295231.8","Reduce purchasing"
"Contoso Water Heater 7.2GPM X1800 Grey","24282525.60","98.00","24225347.7","Reduce purchasing"
"Fabrikam Business Videographer 2/3"" 17mm M280 Blue","24280236.85","99.00","24215494.69","Reduce purchasing"
"Fabrikam Independent filmmaker 1'' 25mm X400 White","23703338.54","99.00","23632833.91","Reduce purchasing"
"Fabrikam Business Videographer 1'' 25mm M600 White","23669890.24","98.00","23613409.60","Reduce purchasing"
"Fabrikam Laptop15.4W M5480 White","23672764.96","97.00","23553899.18","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 Red","23666302.50","98.00","23549902.50","Reduce purchasing"
"Fabrikam Laptop19 M9000 Black","23704576.12","96.00","23535260.32","Reduce purchasing"
"Fabrikam Independent Filmmaker 1/3"" 8.5mm X200 Blue","23651366.44","99.00","23526664.12","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 Green","23498977.50","99.00","23421498.75","Reduce purchasing"
"Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey","23458110.39","99.00","23401573.47","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 Blue","23371665.00","99.00","23327651.25","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 Silver","23420407.50","98.00","23320376.25","Reduce purchasing"
"WWI Laptop19W X0196 Black","23290444.08","98.00","23158317.42","Reduce purchasing"
"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey","23170833.80","99.00","23141372.78","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 White","23182151.25","98.00","23091941.25","Reduce purchasing"
"Fabrikam Independent Filmmaker 1'' 25mm X400 Grey","23135060.62","99.00","23020556.86","Reduce purchasing"
"Fabrikam Independent filmmaker 1/2'' 3mm X300 White","23017855.30","98.00","22890647.23","Reduce purchasing"
"Fabrikam Business Videographer 1/2'' 3mm M500 Black","22894771.00","98.00","22812216.28","Reduce purchasing"
"Contoso Water Heater 4.0GPM M1250 Grey","22920251.25","98.00","22788210.00","Reduce purchasing"
"Adventure Works Laptop15.4W M1548 Red","22923666.54","96.00","22752862.34","Reduce purchasing"
"WWI Laptop19W X0196 White","22669836.12","98.00","22608722.16","Reduce purchasing"
"Fabrikam Independent filmmaker 1/3'' 8.5mm X200 White","22645704.04","98.00","22526826.24","Reduce purchasing"
"Fabrikam Independent Filmmaker 2/3'' 17mm X100 Grey","22566260.49","98.00","22449926.58","Reduce purchasing"
"Fabrikam Business Videographer 2/3'' 17mm M280 White","22353772.22","98.00","22250878.43","Reduce purchasing"
"Adventure Works Laptop15.4W M1548 Silver","22318183.08","97.00","22156093.38","Reduce purchasing"
"WWI Laptop15.4W M0156 White","22269730.46","97.00","22127858.40","Reduce purchasing"
"Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black","22172777.14","99.00","22103001.04","Reduce purchasing"
"WWI Laptop15.4W M0156 Black","22192345.70","96.00","22068948.38","Reduce purchasing"
"WWI Laptop19W X0196 Blue","22145633.28","98.00","21992418.00","Reduce purchasing"
"Fabrikam Business Videographer 1"" 25mm M600 Blue","21948867.84","98.00","21857598.40","Reduce purchasing"
"Fabrikam Independent Filmmaker 1/2"" 3mm X300 Orange","21951506.17","98.00","21795506.15","Reduce purchasing"
"Fabrikam Business Videographer 1'' 25mm M600 Grey","21840408.64","99.00","21787202.24","Reduce purchasing"
"Fabrikam Business Videographer 1/2'' 3mm M500 Grey","21837746.84","99.00","21777449.52","Reduce purchasing"
"Fabrikam Business Videographer 1/3"" 8.5mm M380 Orange","21805976.24","98.00","21692078.00","Reduce purchasing"
"Fabrikam Independent Filmmaker 1'' 25mm X400 Black","21754654.18","99.00","21691040.98","Reduce purchasing"
"Fabrikam Trendsetter 1/2'' 3mm X300 Grey","21800987.34","98.00","21667929.36","Reduce purchasing"
"Adventure Works Laptop15 M1501 Red","21723879.52","97.00","21608482.56","Reduce purchasing"
"Fabrikam Independent filmmaker 2/3'' 17mm X100 White","21655733.61","99.00","21605876.22","Reduce purchasing"
"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue","21662197.92","99.00","21559032.00","Reduce purchasing"
"Fabrikam Trendsetter 2/3'' 17mm X100 White","21631821.87","99.00","21550974.06","Reduce purchasing"
"Fabrikam Business Videographer 2/3"" 17mm M280 Orange","21671559.84","97.00","21494491.20","Reduce purchasing"
"Fabrikam Trendsetter 1/2'' 3mm X300 Black","21547449.00","98.00","21464370.51","Reduce purchasing"
"Adventure Works Laptop15.4W M1548 Black","21542244.00","96.00","21409435.02","Reduce purchasing"
"Fabrikam Trendsetter 1/3'' 8.5mm X200 Grey","21420816.12","98.00","21383451.54","Reduce purchasing"
"Fabrikam Laptop15 M5000 White","21282542.40","97.00","21166181.12","Reduce purchasing"
"Adventure Works Laptop15 M1501 White","21284149.60","96.00","21131787.04","Reduce purchasing"
"Fabrikam Independent Filmmaker 2/3"" 17mm X100 Blue","21249823.95","98.00","21109316.76","Reduce purchasing"
"Fabrikam Trendsetter 2/3'' 17mm X100 Black","21157125.09","98.00","21087641.43","Reduce purchasing"
"WWI Laptop15 M0150 White","21185467.52","97.00","21035997.92","Reduce purchasing"
"Fabrikam Business Videographer 1/3'' 8.5mm M380 Grey","21106767.60","98.00","20983377.84","Reduce purchasing"
"Fabrikam Trendsetter 1/2'' 3mm X300 White","20990392.83","98.00","20922208.89","Reduce purchasing"
"Fabrikam Business Videographer 1/2"" 3mm M500 Orange","20975373.76","98.00","20886344.16","Reduce purchasing"
"Fabrikam Trendsetter 1/3'' 8.5mm X200 White","20931108.66","99.00","20845798.38","Reduce purchasing"
"Adventure Works Laptop15.4W M1548 White","20975452.92","96.00","20832535.12","Reduce purchasing"
"Proseware Laptop15 M510 Black","20874635.04","97.00","20790096.32","Reduce purchasing"
"Fabrikam Business Videographer 1/3'' 8.5mm M380 Black","20794733.88","98.00","20713660.48","Reduce purchasing"
"Fabrikam Trendsetter 1'' 25mm X400 Grey","20750571.60","99.00","20711475.84","Reduce purchasing"
"Fabrikam Trendsetter 1"" 25mm X400 Blue","20754878.76","99.00","20673705.36","Reduce purchasing"
"WWI Projector 720p LCD56 Black","20716165.12","98.00","20651877.12","Reduce purchasing"
"Fabrikam Business Videographer 2/3'' 17mm M280 Grey","20526281.44","98.00","20437942.56","Reduce purchasing"
"Contoso Projector 720p M620 Black","20533265.76","98.00","20427512.00","Reduce purchasing"
"Proseware Projector 720p LCD56 White","20388939.20","98.00","20302793.28","Reduce purchasing"
"Fabrikam Trendsetter 1'' 25mm X400 White","20369884.92","98.00","20287386.24","Reduce purchasing"
"Fabrikam Trendsetter 2/3'' 17mm X100 Grey","20369102.46","98.00","20255785.65","Reduce purchasing"
"Adventure Works Laptop15 M1501 Silver","20356473.76","96.00","20215683.04","Reduce purchasing"
"Fabrikam Laptop15.4 M5400 White","20304350.00","97.00","20193433.70","Reduce purchasing"
"Adventure Works Laptop15 M1500 Black","20320151.04","96.00","20172610.08","Reduce purchasing"
"Contoso Projector 720p M620 White","20207004.16","98.00","20106072.00","Reduce purchasing"
"Fabrikam Business Videographer 2/3'' 17mm M280 Black","20133447.04","98.00","20083414.40","Reduce purchasing"
"WWI Laptop15 M0150 Blue","20207004.16","96.00","20067177.76","Reduce purchasing"
"Adventure Works Laptop15 M1501 Blue","20183539.04","97.00","20058177.44","Reduce purchasing"
"WWI Laptop15 M0150 Black","20065570.56","97.00","19942459.04","Reduce purchasing"
"Contoso Home Theater System 7.1 Channel M1700 Black","19825192.86","98.00","19758332.28","Reduce purchasing"
"WWI Projector 720p LCD56 White","19459334.72","98.00","19379617.60","Reduce purchasing"
"Contoso Projector 720p M620 Silver","19207647.20","98.00","19138216.16","Reduce purchasing"
"Contoso Home Theater System 7.1 Channel M1700 Brown","18966019.68","98.00","18914180.64","Reduce purchasing"
"Fabrikam Business Videographer 1/3"" 8.5mm M380 Blue","18910071.96","98.00","18806544.64","Reduce purchasing"
"Proseware Projector 720p LCD56 Black","18835741.12","98.00","18776596.16","Reduce purchasing"
"Proseware Laptop16 M610 White","18888292.20","96.00","18756622.32","Reduce purchasing"
"Proseware Projector 720p LCD56 Silver","18810347.36","99.00","18748309.44","Reduce purchasing"
"Proseware Laptop15.4W M518 White","18850509.24","96.00","18738963.64","Reduce purchasing"
"Adventure Works Laptop16 M1601 White","18844494.06","96.00","18731004.54","Reduce purchasing"
"Fabrikam Trendsetter 1'' 25mm X400 Black","18757014.64","98.00","18705143.12","Reduce purchasing"
"Contoso Home Theater System 7.1 Channel M1700 White","18743936.52","99.00","18686501.22","Reduce purchasing"
"Contoso Home Theater System 7.1 Channel M1700 Silver","18720667.86","98.00","18645560.16","Reduce purchasing"
"Adventure Works Laptop16 M1601 Silver","18760203.30","96.00","18637623.60","Reduce purchasing"
"Adventure Works LCD24W X300 Black","18619786.40","99.00","18570552.08","Reduce purchasing"
"WWI Laptop16 M0160 Black","18615586.80","96.00","18505402.80","Reduce purchasing"
"Fabrikam Trendsetter 1/2"" 3mm X300 Orange","18554251.32","98.00","18504222.00","Reduce purchasing"
"Fabrikam Trendsetter 2/3"" 17mm X100 Orange","18478343.00","99.00","18422367.86","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M513 Brown","18478692.00","98.00","18417539.95","Reduce purchasing"
"WWI Projector 720p LCD56 Silver","18459977.76","99.00","18404047.20","Reduce purchasing"
"Proseware Laptop16 M610 Black","18323323.74","96.00","18234074.70","Reduce purchasing"
"Adventure Works LCD24W X300 White","18226775.60","99.00","18200862.80","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M513 Black","18255312.75","99.00","18199547.15","Reduce purchasing"
"Adventure Works Laptop16 M1601 Red","18269884.50","96.00","18157496.82","Reduce purchasing"
"Fabrikam Laptop14.1 M4100 White","18035757.44","96.00","17864368.16","Reduce purchasing"
"Adventure Works Laptop16 M1601 Blue","17914816.56","96.00","17812345.44","Reduce purchasing"
"Fabrikam Business Videographer 1/3'' 8.5mm M380 White","17605155.36","98.00","17515405.44","Reduce purchasing"
"WWI LCD24 X300 White","17531380.80","99.00","17506416.60","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M515 Black","17555816.04","98.00","17474701.44","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M515 Silver","17416612.92","99.00","17387568.66","Reduce purchasing"
"SV Car Video LCD7W M7082 Silver","17407583.20","98.00","17348759.68","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M513 Silver","17353557.65","98.00","17285434.90","Reduce purchasing"
"Fabrikam Laptop16 M6000 Black","17389789.80","96.00","17277677.58","Reduce purchasing"
"Contoso Water Heater 2.6GPM E0900 Green","17182950.54","98.00","17103181.62","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M515 Brown","16986182.22","98.00","16908992.52","Reduce purchasing"
"NT Washer & Dryer 15.5in E1550 White","17160214.36","95.00","16811524.84","Discount"
"Contoso Water Heater 2.6GPM E0900 Grey","16807933.02","99.00","16781257.05","Reduce purchasing"
"Contoso Water Heater 2.6GPM E0900 White","16803530.19","99.00","16753545.12","Reduce purchasing"
"Litware Washer & Dryer 15.5in E150 Green","17004666.84","96.00","16726578.12","Discount"
"Proseware Projector 480p DLP12 White","16667524.80","99.00","16614100.8","Reduce purchasing"
"WWI LCD24 X300 Black","16624800.45","99.00","16610961.60","Reduce purchasing"
"WWI Projector 480p DLP12 Black","16582555.20","99.00","16549992.0","Reduce purchasing"
"Contoso Projector 480p M481 White","16506489.60","99.00","16469856.0","Reduce purchasing"
"Contoso Water Heater 2.6GPM E0900 Blue","16505173.71","98.00","16420224.99","Reduce purchasing"
"Proseware Projector 480p DLP12 Black","16468075.20","98.00","16398878.4","Reduce purchasing"
"SV Car Video LCD7W M7082 Brown","16429441.28","98.00","16378653.76","Reduce purchasing"
"SV Car Video LCD7W M7082 Black","16428798.40","98.00","16342652.48","Reduce purchasing"
"Contoso Water Heater 2.6GPM E0900 Red","16346412.84","98.00","16270010.79","Reduce purchasing"
"Fabrikam Budget Moviemaker 1/2'' 3mm E300 Black","16329668.74","98.00","16230144.04","Reduce purchasing"
"Contoso Projector 480p M481 Silver","16266844.80","98.00","16190779.2","Reduce purchasing"
"NT Washer & Dryer 15.5in E1550 Silver","16572438.02","94.00","16170221.60","Discount"
"NT Washer & Dryer 15.5in E1550 Green","16524518.70","94.00","16142183.70","Discount"
"Proseware Projector 480p DLP12 Silver","16209859.20","98.00","16135828.8","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 Grey","16133711.23","99.00","16085216.42","Reduce purchasing"
"Contoso Projector 480p M481 Black","16149057.60","98.00","16073246.4","Reduce purchasing"
"Fabrikam Home and vacation moviemaker 1/3"" 8.5mm M200 Blue","16132498.89","99.00","16072825.44","Reduce purchasing"
"Contoso Water Heater 2.6GPM E0900 Silver","16141551.75","98.00","16057638.99","Reduce purchasing"
"Contoso Washer & Dryer 15.5in E155 Silver","16346625.40","94.00","15975331.12","Discount"
"Litware Washer & Dryer 15.5in E150 Silver","16274301.96","95.00","15962598.12","Discount"
"WWI Projector 480p DLP12 Silver","16019059.20","98.00","15937396.8","Reduce purchasing"
"WWI Projector 480p DLP12 White","15950880.00","99.00","15930019.2","Reduce purchasing"
"Contoso Washer & Dryer 15.5in E155 Blue","16187717.56","95.00","15887728.08","Discount"
"Litware Washer & Dryer 15.5in E150 White","16284997.68","93.00","15840361.32","Discount"
"Fabrikam Home and vacation moviemaker 2/3'' 17mm M103 Black","15915032.77","98.00","15825874.61","Reduce purchasing"
"NT Washer & Dryer 15.5in E1550 Blue","16163084.68","95.00","15789925.72","Discount"
"Litware Washer & Dryer 15.5in E150 Blue","16092474.72","95.00","15737988.00","Discount"
"Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 White","15805392.33","98.00","15736114.03","Reduce purchasing"
"Contoso Washer & Dryer 15.5in E155 White","16112338.20","94.00","15647329.04","Discount"
"Contoso Washer & Dryer 15.5in E155 Green","15875504.40","94.00","15467029.76","Discount"
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 White","15497049.42","98.00","15400407.54","Reduce purchasing"
"Contoso Washer & Dryer 15.5in E155 Pink","15675341.64","94.00","15293351.64","Discount"
"SV Car Video LCD7W M7080 Black","15288505.56","99.00","15238150.89","Reduce purchasing"
"Contoso Washer & Dryer 15.5in E155 Red","15501154.20","94.00","15118654.88","Discount"
"Contoso Coffee Maker Super-Auto 12C X1250 White","15125542.24","99.00","15057753.92","Reduce purchasing"
"Contoso Coffee Maker Super-Auto 12C X1250 Grey","15063220.72","98.00","15001992.56","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Grey","15016670.08","98.00","14952932.56","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1"" 25mm M400 Blue","14993216.88","98.00","14939688.40","Reduce purchasing"
"Contoso Coffee Maker Super-Auto 12C X1250 Silver","14868602.64","97.00","14718265.64","Reduce purchasing"
"SV Car Video LCD7W M7080 Silver","14709081.96","99.00","14663095.96","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey","14651432.97","98.00","14627854.68","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White","14659353.68","99.00","14618517.52","Reduce purchasing"
"SV Car Video LCD7W M7081 Silver","14650512.15","98.00","14616321.12","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1420 Silver","14545912.08","99.00","14537836.32","Reduce purchasing"
"SV Car Video LCD7W M7081 Brown","14455003.71","98.00","14418059.04","Reduce purchasing"
"Fabrikam Trendsetter 1/3'' 8.5mm X200 Black","14414283.51","98.00","14366289.96","Reduce purchasing"
"SV Car Video LCD7W M7080 Brown","14363727.10","98.00","14313602.36","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1420 White","14352338.56","98.00","14286753.60","Reduce purchasing"
"Adventure Works Floor Lamp X1150 White","14311891.68","99.00","14284708.80","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Black","14293960.80","98.00","14270489.60","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Black","14273336.00","98.00","14230637.44","Reduce purchasing"
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black","14274528.84","98.00","14221058.28","Reduce purchasing"
"Adventure Works 26"" 720p LCD HDTV M140 Black","14265000.60","98.00","14179200.96","Reduce purchasing"
"Adventure Works 26"" 720p LCD HDTV M140 White","14200596.84","98.00","14130357.84","Reduce purchasing"
"SV Car Video LCD7W M7081 Black","14185835.40","98.00","14128238.43","Reduce purchasing"
"Contoso SLR Camera X144 Silver Grey","14144290.34","99.00","14100363.28","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1420 Brown","14133069.44","98.00","14079475.76","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Grey","13997858.40","98.00","13945021.56","Reduce purchasing"
"Adventure Works 26"" 720p LCD HDTV M140 Silver","13985557.44","98.00","13936282.08","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 Grey","13959230.88","98.00","13885537.12","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 Black","13891273.76","99.00","13863914.40","Reduce purchasing"
"Contoso Coffee Maker Super-Auto 12C X1250 Black","13903165.76","99.00","13847404.40","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1400 White","13876797.48","99.00","13843851.32","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/2"" 3mm M300 Orange","13908582.36","98.00","13835703.96","Reduce purchasing"
"Proseware Laptop8.9 E089 Black","13983237.00","95.00","13831164.0","Reduce purchasing"
"Adventure Works Floor Lamp X1150 Silver","13853364.96","99.00","13820914.08","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 White","13897650.60","98.00","13820347.44","Reduce purchasing"
"Contoso SLR Camera X142 Black","13796760.60","99.00","13765736.25","Reduce purchasing"
"Contoso SLR Camera X143 Grey","13806861.27","99.00","13746504.81","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1400 Black","13776499.36","98.00","13728539.76","Reduce purchasing"
"WWI Laptop8.9 E0089 White","13862409.60","95.00","13720641.0","Reduce purchasing"
"Adventure Works Laptop8.9 E0890 White","13867894.20","96.00","13712995.8","Reduce purchasing"
"Fabrikam SLR Camera X148 Silver Grey","13744315.20","99.00","13704915.12","Reduce purchasing"
"Fabrikam Laptop14.1 E4101 Red","13844469.60","94.00","13655031.36","Reduce purchasing"
"Fabrikam Laptop14.1W M4180 Red","13744765.87","95.00","13642232.19","Reduce purchasing"
"A. Datum SLR Camera X138 Silver Grey","13698791.08","98.00","13633768.46","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 Silver","13624740.64","99.00","13614149.92","Reduce purchasing"
"Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black","13651260.48","98.00","13610488.32","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 White","13667986.08","99.00","13609957.76","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1420 Black","13623072.96","99.00","13591259.36","Reduce purchasing"
"Fabrikam Budget Movie-Maker 1/2'' 3mm E300 Black","13608586.75","99.00","13578853.00","Reduce purchasing"
"Contoso Coffee Maker 12C M1000 White","13611424.96","98.00","13551465.44","Reduce purchasing"
"Adventure Works 26"" 720p LCD HDTV M140 Brown","13596325.32","98.00","13549859.52","Reduce purchasing"
"Adventure Works Laptop8.9 E0890 Red","13696209.60","95.00","13540812.6","Reduce purchasing"
"Litware Refrigerator 9.7CuFt M560 Grey","13572220.86","98.00","13533906.87","Reduce purchasing"
"Litware Refrigerator 9.7CuFt M560 Blue","13552497.09","99.00","13524385.05","Reduce purchasing"
"Fabrikam Laptop8.9 E8002 Red","13684243.20","95.00","13522364.4","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 Blue","13507360.16","99.00","13479780.16","Reduce purchasing"
"Litware Microwave 1.5CuFt X110 Red","13495004.32","99.00","13464997.28","Reduce purchasing"
"Fabrikam Refrigerator 9.7CuFt M5600 White","13506928.38","99.00","13459545.99","Reduce purchasing"
"Fabrikam Budget Moviemaker 1/2'' 3mm E300 Grey","13516522.25","98.00","13457715.50","Reduce purchasing"
"Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey","13419307.94","99.00","13388789.56","Reduce purchasing"
"Contoso Home Theater System 4.1 Channel M1400 Silver","13423683.52","99.00","13385941.40","Reduce purchasing"
"Adventure Works Laptop8.9 E0890 Black","13579869.60","94.00","13383421.2","Reduce purchasing"
"Adventure Works Laptop8.9 E0890 Silver","13574883.60","94.00","13380595.8","Reduce purchasing"
"Litware Refrigerator 9.7CuFt M560 White","13428033.30","98.00","13360020.30","Reduce purchasing"
"Fabrikam Budget Movie-Maker 1'' 25mm E400 Black","13398035.95","99.00","13358018.05","Reduce purchasing"
"Litware Home Theater System 5.1 Channel M511 Silver","13417548.48","98.00","13353903.36","Reduce purchasing"
